Review_Text,Word_Tokens,Updated_Aspect_Terms,BIO_Tags
Pixel കൊണ്ട് തോട്ടിൽകള,"['pixel', 'കൊണ്ട്', 'തോട്ടിൽകള']",{'camera': ['pixel']},"[('pixel', 'B-camera'), ('കൊണ്ട്', 'O'), ('തോട്ടിൽകള', 'O')]"
അങ്ങനെ ഞാൻ എടുത്തു guys iphone💥🙌🏻✨️,"['അങ്ങനെ', 'ഞാൻ', 'എടുത്തു', 'guys', 'iphone']",{'phone': ['iphone']},"[('അങ്ങനെ', 'O'), ('ഞാൻ', 'O'), ('എടുത്തു', 'O'), ('guys', 'O'), ('iphone', 'B-phone')]"
Reverse charging M21 പോലുള്ള ചില ഫോണുകളിൽ ഉണ്ടായിരുന്നെങ്കിലും type c to type C cable ആദ്യമായിട്ടാണ് കാണുന്നത്..ഇത്രയും വിലയുണ്ടായിട്ടും Gorilla glass 3യിൽ ഒതുക്കിയത് 5 എങ്കിലും കൊടുക്കാമായിരുന്നു,"['reverse', 'charging', 'm21', 'പോലുള്ള', 'ചില', 'ഫോണുകളിൽ', 'ഉണ്ടായിരുന്നെങ്കിലും', 'type', 'c', 'to', 'type', 'c', 'cable', 'ആദ്യമായിട്ടാണ്', 'കാണുന്നത്ഇത്രയും', 'വിലയുണ്ടായിട്ടും', 'gorilla', 'glass', '3യിൽ', 'ഒതുക്കിയത്', '5', 'എങ്കിലും', 'കൊടുക്കാമായിരുന്നു']","{'battery': ['cable'], 'price': ['വില'], 'network': ['5ജി'], 'hardware': ['cable']}","[('reverse', 'O'), ('charging', 'O'), ('m21', 'O'), ('പോലുള്ള', 'O'), ('ചില', 'O'), ('ഫോണുകളിൽ', 'O'), ('ഉണ്ടായിരുന്നെങ്കിലും', 'O'), ('type', 'O'), ('c', 'O'), ('to', 'O'), ('type', 'O'), ('c', 'O'), ('cable', 'B-hardware'), ('ആദ്യമായിട്ടാണ്', 'O'), ('കാണുന്നത്ഇത്രയും', 'O'), ('വിലയുണ്ടായിട്ടും', 'O'), ('gorilla', 'O'), ('glass', 'O'), ('3യിൽ', 'O'), ('ഒതുക്കിയത്', 'O'), ('5', 'O'), ('എങ്കിലും', 'O'), ('കൊടുക്കാമായിരുന്നു', 'O')]"
ഇവന്‍ ഇലുമിനാണ്ടിയാണ് 😑😑 xs ന്‍റേ മലയാളം റിവ്യു ഇ ചാനലില്‍ ഞാന്‍ രണ്ടൂസം മുന്നേ തപ്പിനോക്കീര്‍ന്നു 😀😀😀,"['ഇവന്', 'ഇലുമിനാണ്ടിയാണ്', 'xs', 'ന്റേ', 'മലയാളം', 'റിവ്യു', 'ഇ', 'ചാനലില്', 'ഞാന്', 'രണ്ടൂസം', 'മുന്നേ', 'തപ്പിനോക്കീര്ന്നു']",{'applications': ['xender']},"[('ഇവന്', 'O'), ('ഇലുമിനാണ്ടിയാണ്', 'O'), ('xs', 'O'), ('ന്റേ', 'O'), ('മലയാളം', 'O'), ('റിവ്യു', 'O'), ('ഇ', 'O'), ('ചാനലില്', 'O'), ('ഞാന്', 'O'), ('രണ്ടൂസം', 'O'), ('മുന്നേ', 'O'), ('തപ്പിനോക്കീര്ന്നു', 'O')]"
😂😂😂. sd778 for 42000 rs🥴 .. ഇജ്ജാതി 🤣🤣.മയത്തിലൊക്കെ ആവാം,"['sd778', 'for', '42000', 'rs', 'ഇജ്ജാതി', 'മയത്തിലൊക്കെ', 'ആവാം']",{'screen': ['resolution']},"[('sd778', 'O'), ('for', 'O'), ('42000', 'O'), ('rs', 'O'), ('ഇജ്ജാതി', 'O'), ('മയത്തിലൊക്കെ', 'O'), ('ആവാം', 'O')]"
Ethano bezel kuranja dispaly നിന്റ്റെ കണ്ണിൽ ഉണ്ടകണ്ണില്ലെ  എവിടെ നോക്കിയാ പറഞ്ഞെ😃😃😃,"['ethano', 'bezel', 'kuranja', 'dispaly', 'നിന്റ്റെ', 'കണ്ണിൽ', 'ഉണ്ടകണ്ണില്ലെ', 'എവിടെ', 'നോക്കിയാ', 'പറഞ്ഞെ']",{},"[('ethano', 'O'), ('bezel', 'O'), ('kuranja', 'O'), ('dispaly', 'O'), ('നിന്റ്റെ', 'O'), ('കണ്ണിൽ', 'O'), ('ഉണ്ടകണ്ണില്ലെ', 'O'), ('എവിടെ', 'O'), ('നോക്കിയാ', 'O'), ('പറഞ്ഞെ', 'O')]"
എൻ്റെ friend ൻ്റേ Redmi 10 pro Plus ആണ് അടിച്ച് പോയത്..,"['എൻ്റെ', 'friend', 'ൻ്റേ', 'redmi', '10', 'pro', 'plus', 'ആണ്', 'അടിച്ച്', 'പോയത്']","{'phone': ['pro'], 'processor': ['processor']}","[('എൻ്റെ', 'O'), ('friend', 'O'), ('ൻ്റേ', 'O'), ('redmi', 'O'), ('10', 'O'), ('pro', 'B-phone'), ('plus', 'O'), ('ആണ്', 'O'), ('അടിച്ച്', 'O'), ('പോയത്', 'O')]"
Throttling test ill persentage mathram nokkunnath seriyalla points koodi nokkanam . Realme throttle aavathirikkan performance kurachittund.. but.. realme is far better than lava,"['throttling', 'test', 'ill', 'persentage', 'mathram', 'nokkunnath', 'seriyalla', 'points', 'koodi', 'nokkanam', 'realme', 'throttle', 'aavathirikkan', 'performance', 'kurachittund', 'but', 'realme', 'is', 'far', 'better', 'than', 'lava']",{'phone': ['realmex2pro']},"[('throttling', 'O'), ('test', 'O'), ('ill', 'O'), ('persentage', 'O'), ('mathram', 'O'), ('nokkunnath', 'O'), ('seriyalla', 'O'), ('points', 'O'), ('koodi', 'O'), ('nokkanam', 'O'), ('realme', 'O'), ('throttle', 'O'), ('aavathirikkan', 'O'), ('performance', 'O'), ('kurachittund', 'O'), ('but', 'O'), ('realme', 'O'), ('is', 'O'), ('far', 'O'), ('better', 'O'), ('than', 'O'), ('lava', 'O')]"
അവസാനം oppo അണ്ണൻ is back ഇനി ആണ് സംഭവം 👌,"['അവസാനം', 'oppo', 'അണ്ണൻ', 'is', 'back', 'ഇനി', 'ആണ്', 'സംഭവം']",{'phone': ['oppo']},"[('അവസാനം', 'O'), ('oppo', 'B-phone'), ('അണ്ണൻ', 'O'), ('is', 'O'), ('back', 'O'), ('ഇനി', 'O'), ('ആണ്', 'O'), ('സംഭവം', 'O')]"
Galaxy s21 ultra vaanganamennulla മോഹവുമായി കുറെ നാളായി  ഇപ്പൊ S22  കണ്ടപ്പോ അത് വാങ്ങാൻ ആഗ്രഹിക്കുന്നു use ചെയ്തിട്ടുള്ള video ഉടൻ പ്രതീക്ഷിക്കുന്നു  Samsung ഫോണുകളെല്ലം ഒരേ പോളിയല്ലെ  പക്ഷേ ഇതിൻ്റെ ഒക്കെ price ആണ് വിഷയം സാതരകാരന്  വാങ്ങാൻ കുറച്ചു ബുദ്ധിമുട്ടാണ്😌😌😌,"['galaxy', 's21', 'ultra', 'vaanganamennulla', 'മോഹവുമായി', 'കുറെ', 'നാളായി', 'ഇപ്പൊ', 's22', 'കണ്ടപ്പോ', 'അത്', 'വാങ്ങാൻ', 'ആഗ്രഹിക്കുന്നു', 'use', 'ചെയ്തിട്ടുള്ള', 'video', 'ഉടൻ', 'പ്രതീക്ഷിക്കുന്നു', 'samsung', 'ഫോണുകളെല്ലം', 'ഒരേ', 'പോളിയല്ലെ', 'പക്ഷേ', 'ഇതിൻ്റെ', 'ഒക്കെ', 'price', 'ആണ്', 'വിഷയം', 'സാതരകാരന്', 'വാങ്ങാൻ', 'കുറച്ചു', 'ബുദ്ധിമുട്ടാണ്']","{'phone': ['galaxys21ultra','s22', 'samsung'], 'price': ['price']}","[('galaxy', 'O'), ('s21', 'O'), ('ultra', 'O'), ('vaanganamennulla', 'O'), ('മോഹവുമായി', 'O'), ('കുറെ', 'O'), ('നാളായി', 'O'), ('ഇപ്പൊ', 'O'), ('s22', 'B-phone'), ('കണ്ടപ്പോ', 'O'), ('അത്', 'O'), ('വാങ്ങാൻ', 'O'), ('ആഗ്രഹിക്കുന്നു', 'O'), ('use', 'O'), ('ചെയ്തിട്ടുള്ള', 'O'), ('video', 'O'), ('ഉടൻ', 'O'), ('പ്രതീക്ഷിക്കുന്നു', 'O'), ('samsung', 'B-phone'), ('ഫോണുകളെല്ലം', 'O'), ('ഒരേ', 'O'), ('പോളിയല്ലെ', 'O'), ('പക്ഷേ', 'O'), ('ഇതിൻ്റെ', 'O'), ('ഒക്കെ', 'O'), ('price', 'B-price'), ('ആണ്', 'O'), ('വിഷയം', 'O'), ('സാതരകാരന്', 'O'), ('വാങ്ങാൻ', 'O'), ('കുറച്ചു', 'O'), ('ബുദ്ധിമുട്ടാണ്', 'O')]"
അല്ലെങ്കിലും ഈ ഫോൺ 30k+ ഒരിക്കലും Worth അല്ല.. ചുമ്മാ hype കൊടുത്തു പ്രചരിപ്പിച്ചു.. മാത്രമല്ല ഓൺലൈനിൽ limited stock ഇട്ട് demand ആക്കി വെച്ചു.. ഇപ്പൊ ഏതായാലും stock ഉണ്ട്. ഒരിക്കലും 30k + worth അല്ല 100%.,"['അല്ലെങ്കിലും', 'ഈ', 'ഫോൺ', '30k', 'ഒരിക്കലും', 'worth', 'അല്ല', 'ചുമ്മാ', 'hype', 'കൊടുത്തു', 'പ്രചരിപ്പിച്ചു', 'മാത്രമല്ല', 'ഓൺലൈനിൽ', 'limited', 'stock', 'ഇട്ട്', 'demand', 'ആക്കി', 'വെച്ചു', 'ഇപ്പൊ', 'ഏതായാലും', 'stock', 'ഉണ്ട്', 'ഒരിക്കലും', '30k', 'worth', 'അല്ല', '100']","{'phone': ['ഐഫോൺ'], 'price': ['worth']}","[('അല്ലെങ്കിലും', 'O'), ('ഈ', 'O'), ('ഫോൺ', 'O'), ('30k', 'O'), ('ഒരിക്കലും', 'O'), ('worth', 'B-price'), ('അല്ല', 'O'), ('ചുമ്മാ', 'O'), ('hype', 'O'), ('കൊടുത്തു', 'O'), ('പ്രചരിപ്പിച്ചു', 'O'), ('മാത്രമല്ല', 'O'), ('ഓൺലൈനിൽ', 'O'), ('limited', 'O'), ('stock', 'O'), ('ഇട്ട്', 'O'), ('demand', 'O'), ('ആക്കി', 'O'), ('വെച്ചു', 'O'), ('ഇപ്പൊ', 'O'), ('ഏതായാലും', 'O'), ('stock', 'O'), ('ഉണ്ട്', 'O'), ('ഒരിക്കലും', 'O'), ('30k', 'O'), ('worth', 'O'), ('അല്ല', 'O'), ('100', 'O')]"
Nicey ജയരാജേട്ടാ 💥,"['nicey', 'ജയരാജേട്ടാ']",{},"[('nicey', 'O'), ('ജയരാജേട്ടാ', 'O')]"
Edge 40 ആണോ edge 40 neo ആണോ നല്ലത്,"['edge', '40', 'ആണോ', 'edge', '40', 'neo', 'ആണോ', 'നല്ലത്']",{},"[('edge', 'O'), ('40', 'O'), ('ആണോ', 'O'), ('edge', 'O'), ('40', 'O'), ('neo', 'O'), ('ആണോ', 'O'), ('നല്ലത്', 'O')]"
Wireless mouse connect ചെയ്യാമോ??,"['wireless', 'mouse', 'connect', 'ചെയ്യാമോ']",{},"[('wireless', 'O'), ('mouse', 'O'), ('connect', 'O'), ('ചെയ്യാമോ', 'O')]"
"എടൊ ഗോപാല കൃഷ്ണ,,,,, samsung A53 5g phone നല്ല ഫോൺ ആണെന്നും പറഞ്ഞു ഒരു വീഡിയോ ഇട്ടു,, പിന്നെ ഒരു വീഡിയോയിൽ പറയുന്നു നിങ്ങൾ വാങ്ങാൻ പാടില്ലാത്ത ഫോൺ ആണ് A53 5g,, ഏത് വിശ്വസിക്കണം,, ഇനി അടുത്ത വീഡിയോയു മായി വരുമോ A73 5g വാങ്ങാൻ പാടില്ലാത്ത ഫോൺ ആണെന്നും പറഞ്ഞ്,, ഏതെങ്കിലും ഒന്നിൽ ഒറച്ചു നിൽക്കടെ,,,","['എടൊ', 'ഗോപാല', 'കൃഷ്ണ', 'samsung', 'a53', '5g', 'phone', 'നല്ല', 'ഫോൺ', 'ആണെന്നും', 'പറഞ്ഞു', 'ഒരു', 'വീഡിയോ', 'ഇട്ടു', 'പിന്നെ', 'ഒരു', 'വീഡിയോയിൽ', 'പറയുന്നു', 'നിങ്ങൾ', 'വാങ്ങാൻ', 'പാടില്ലാത്ത', 'ഫോൺ', 'ആണ്', 'a53', '5g', 'ഏത്', 'വിശ്വസിക്കണം', 'ഇനി', 'അടുത്ത', 'വീഡിയോയു', 'മായി', 'വരുമോ', 'a73', '5g', 'വാങ്ങാൻ', 'പാടില്ലാത്ത', 'ഫോൺ', 'ആണെന്നും', 'പറഞ്ഞ്', 'ഏതെങ്കിലും', 'ഒന്നിൽ', 'ഒറച്ചു', 'നിൽക്കടെ']","{'camera': ['വീഡിയോ'], 'phone': ['ഐഫോൺ', 'samsung'], 'network': ['5g']}","[('എടൊ', 'O'), ('ഗോപാല', 'O'), ('കൃഷ്ണ', 'O'), ('samsung', 'B-phone'), ('a53', 'O'), ('5g', 'B-network'), ('phone', 'O'), ('നല്ല', 'O'), ('ഫോൺ', 'O'), ('ആണെന്നും', 'O'), ('പറഞ്ഞു', 'O'), ('ഒരു', 'O'), ('വീഡിയോ', 'B-camera'), ('ഇട്ടു', 'O'), ('പിന്നെ', 'O'), ('ഒരു', 'O'), ('വീഡിയോയിൽ', 'O'), ('പറയുന്നു', 'O'), ('നിങ്ങൾ', 'O'), ('വാങ്ങാൻ', 'O'), ('പാടില്ലാത്ത', 'O'), ('ഫോൺ', 'O'), ('ആണ്', 'O'), ('a53', 'O'), ('5g', 'O'), ('ഏത്', 'O'), ('വിശ്വസിക്കണം', 'O'), ('ഇനി', 'O'), ('അടുത്ത', 'O'), ('വീഡിയോയു', 'O'), ('മായി', 'O'), ('വരുമോ', 'O'), ('a73', 'O'), ('5g', 'O'), ('വാങ്ങാൻ', 'O'), ('പാടില്ലാത്ത', 'O'), ('ഫോൺ', 'O'), ('ആണെന്നും', 'O'), ('പറഞ്ഞ്', 'O'), ('ഏതെങ്കിലും', 'O'), ('ഒന്നിൽ', 'O'), ('ഒറച്ചു', 'O'), ('നിൽക്കടെ', 'O')]"
മൊബൈല് വാങ്ങുബൊ global version ആണോന്ന് നോക്കണൊ ഇല്ലെങ്കില്‍ പ്രശ്നമാണൊ,"['മൊബൈല്', 'വാങ്ങുബൊ', 'global', 'version', 'ആണോന്ന്', 'നോക്കണൊ', 'ഇല്ലെങ്കില്', 'പ്രശ്നമാണൊ']",{},"[('മൊബൈല്', 'O'), ('വാങ്ങുബൊ', 'O'), ('global', 'O'), ('version', 'O'), ('ആണോന്ന്', 'O'), ('നോക്കണൊ', 'O'), ('ഇല്ലെങ്കില്', 'O'), ('പ്രശ്നമാണൊ', 'O')]"
പക്ഷേ ഭയങ്കര വിലയല്ലേ 😭. vivo എപ്പോഴും ക്യാമറ സൂപ്പർ പെർഫെക്ഷൻ ആയിരിക്കും👌,"['പക്ഷേ', 'ഭയങ്കര', 'വിലയല്ലേ', 'vivo', 'എപ്പോഴും', 'ക്യാമറ', 'സൂപ്പർ', 'പെർഫെക്ഷൻ', 'ആയിരിക്കും']","{'camera': ['ക്യാമറ'], 'price': ['വില']}","[('പക്ഷേ', 'O'), ('ഭയങ്കര', 'O'), ('വിലയല്ലേ', 'O'), ('vivo', 'O'), ('എപ്പോഴും', 'O'), ('ക്യാമറ', 'B-camera'), ('സൂപ്പർ', 'O'), ('പെർഫെക്ഷൻ', 'O'), ('ആയിരിക്കും', 'O')]"
Price.കൊള്ളാം പക്ഷേ notch.,"['priceകൊള്ളാം', 'പക്ഷേ', 'notch']",{'price': ['price']},"[('priceകൊള്ളാം', 'O'), ('പക്ഷേ', 'O'), ('notch', 'O')]"
ഈ കഴിഞ്ഞ sail നടന്ന സമയത്ത് ഞാൻ S21fe വാങ്ങിയതാണ് 30000 രൂപ.ഈ ഫോണിലെ മികച്ച കാര്യങ്ങൾ ഞാൻ പറയാം.1. ഡൈനാമിക് amoled display അടിപൊളിയാണ്.2. സ്റ്റീരിയോ സ്പീക്കർ ഒരു രക്ഷയുമില്ല.3. In-hand feel ഒരു രക്ഷയുമില്ല.4.15w wirless charging.5. ക്യാമറ കൊള്ളാം.ഈ ഫോണിൽ ഏറ്റവും മോശമായ കാര്യം എനിക്ക് തോന്നിയത് exinos chip set ആണ് എന്നതാണ് snapdragon ആയിരുന്നു എങ്കിൽ ഒന്നും പറയാനില്ല 😊,"['ഈ', 'കഴിഞ്ഞ', 'sail', 'നടന്ന', 'സമയത്ത്', 'ഞാൻ', 's21fe', 'വാങ്ങിയതാണ്', '30000', 'രൂപഈ', 'ഫോണിലെ', 'മികച്ച', 'കാര്യങ്ങൾ', 'ഞാൻ', 'പറയാം1', 'ഡൈനാമിക്', 'amoled', 'display', 'അടിപൊളിയാണ്2', 'സ്റ്റീരിയോ', 'സ്പീക്കർ', 'ഒരു', 'രക്ഷയുമില്ല3', 'inhand', 'feel', 'ഒരു', 'രക്ഷയുമില്ല415w', 'wirless', 'charging5', 'ക്യാമറ', 'കൊള്ളാംഈ', 'ഫോണിൽ', 'ഏറ്റവും', 'മോശമായ', 'കാര്യം', 'എനിക്ക്', 'തോന്നിയത്', 'exinos', 'chip', 'set', 'ആണ്', 'എന്നതാണ്', 'snapdragon', 'ആയിരുന്നു', 'എങ്കിൽ', 'ഒന്നും', 'പറയാനില്ല']","{'screen': ['display', 'amoled'], 'camera': ['ക്യാമറ'], 'processor': ['snapdragon', 'chip'], 'speaker': ['സ്പീക്കർ'], 'design': ['display']}","[('ഈ', 'O'), ('കഴിഞ്ഞ', 'O'), ('sail', 'O'), ('നടന്ന', 'O'), ('സമയത്ത്', 'O'), ('ഞാൻ', 'O'), ('s21fe', 'O'), ('വാങ്ങിയതാണ്', 'O'), ('30000', 'O'), ('രൂപഈ', 'O'), ('ഫോണിലെ', 'O'), ('മികച്ച', 'O'), ('കാര്യങ്ങൾ', 'O'), ('ഞാൻ', 'O'), ('പറയാം1', 'O'), ('ഡൈനാമിക്', 'O'), ('amoled', 'B-screen'), ('display', 'B-design'), ('അടിപൊളിയാണ്2', 'O'), ('സ്റ്റീരിയോ', 'O'), ('സ്പീക്കർ', 'B-speaker'), ('ഒരു', 'O'), ('രക്ഷയുമില്ല3', 'O'), ('inhand', 'O'), ('feel', 'O'), ('ഒരു', 'O'), ('രക്ഷയുമില്ല415w', 'O'), ('wirless', 'O'), ('charging5', 'O'), ('ക്യാമറ', 'B-camera'), ('കൊള്ളാംഈ', 'O'), ('ഫോണിൽ', 'O'), ('ഏറ്റവും', 'O'), ('മോശമായ', 'O'), ('കാര്യം', 'O'), ('എനിക്ക്', 'O'), ('തോന്നിയത്', 'O'), ('exinos', 'O'), ('chip', 'B-processor'), ('set', 'O'), ('ആണ്', 'O'), ('എന്നതാണ്', 'O'), ('snapdragon', 'B-processor'), ('ആയിരുന്നു', 'O'), ('എങ്കിൽ', 'O'), ('ഒന്നും', 'O'), ('പറയാനില്ല', 'O')]"
"Normal condition ൽ Navigation ഇട്ട്,... Screenshot വേണ്ട സമയത്ത് Mi കാണിച്ച പോലെ ഒരു Push button കൊടുത്താൽ മതി Screenshot mode ലേക്ക് മാറാൻ ... എന്നിട്ട് Screen shot എടുക്കുക! എത്ര സിംപിൾ!","['normal', 'condition', 'ൽ', 'navigation', 'ഇട്ട്', 'screenshot', 'വേണ്ട', 'സമയത്ത്', 'mi', 'കാണിച്ച', 'പോലെ', 'ഒരു', 'push', 'button', 'കൊടുത്താൽ', 'മതി', 'screenshot', 'mode', 'ലേക്ക്', 'മാറാൻ', 'എന്നിട്ട്', 'screen', 'shot', 'എടുക്കുക', 'എത്ര', 'സിംപിൾ']","{'screen': ['screen'], 'phone': ['mi']}","[('normal', 'O'), ('condition', 'O'), ('ൽ', 'O'), ('navigation', 'O'), ('ഇട്ട്', 'O'), ('screenshot', 'O'), ('വേണ്ട', 'O'), ('സമയത്ത്', 'O'), ('mi', 'B-phone'), ('കാണിച്ച', 'O'), ('പോലെ', 'O'), ('ഒരു', 'O'), ('push', 'O'), ('button', 'O'), ('കൊടുത്താൽ', 'O'), ('മതി', 'O'), ('screenshot', 'O'), ('mode', 'O'), ('ലേക്ക്', 'O'), ('മാറാൻ', 'O'), ('എന്നിട്ട്', 'O'), ('screen', 'B-screen'), ('shot', 'O'), ('എടുക്കുക', 'O'), ('എത്ര', 'O'), ('സിംപിൾ', 'O')]"
Nokia Note 7PROയെക്കുറിച്ച്അറിയാൻ.താല്പര്യമുണ്ട്,"['nokia', 'note', '7proയെക്കുറിച്ച്അറിയാൻതാല്പര്യമുണ്ട്']",{},"[('nokia', 'O'), ('note', 'O'), ('7proയെക്കുറിച്ച്അറിയാൻതാല്പര്യമുണ്ട്', 'O')]"
"ഇതു മാത്രമാണ് ഫുള്ളി ലോഡഡ്.മറ്റു രണ്ട് വേരിയൻ്റുകളും ഒരു 40 ,50 റേഞ്ചിൽ ഒക്കെ കിട്ടുന്ന ഫോണുകളുടെ സ്പെക് മാത്രമേ ഉള്ളൂ","['ഇതു', 'മാത്രമാണ്', 'ഫുള്ളി', 'ലോഡഡ്മറ്റു', 'രണ്ട്', 'വേരിയൻ്റുകളും', 'ഒരു', '40', '50', 'റേഞ്ചിൽ', 'ഒക്കെ', 'കിട്ടുന്ന', 'ഫോണുകളുടെ', 'സ്പെക്', 'മാത്രമേ', 'ഉള്ളൂ']",{},"[('ഇതു', 'O'), ('മാത്രമാണ്', 'O'), ('ഫുള്ളി', 'O'), ('ലോഡഡ്മറ്റു', 'O'), ('രണ്ട്', 'O'), ('വേരിയൻ്റുകളും', 'O'), ('ഒരു', 'O'), ('40', 'O'), ('50', 'O'), ('റേഞ്ചിൽ', 'O'), ('ഒക്കെ', 'O'), ('കിട്ടുന്ന', 'O'), ('ഫോണുകളുടെ', 'O'), ('സ്പെക്', 'O'), ('മാത്രമേ', 'O'), ('ഉള്ളൂ', 'O')]"
ഇതിൽ എനിക്ക് ഇഷ്ടപ്പെടാത്തത്. സ്ക്രീൻ ൽ മുകളിൽ കാണുന്ന സ്പീക്കർ അത് ഉള്ളത് വീഡിയോ നെ കവർ ചെയുന്നു. Iphone 12 il അങ്ങിനെ തന്നെ,"['ഇതിൽ', 'എനിക്ക്', 'ഇഷ്ടപ്പെടാത്തത്', 'സ്ക്രീൻ', 'ൽ', 'മുകളിൽ', 'കാണുന്ന', 'സ്പീക്കർ', 'അത്', 'ഉള്ളത്', 'വീഡിയോ', 'നെ', 'കവർ', 'ചെയുന്നു', 'iphone', '12', 'il', 'അങ്ങിനെ', 'തന്നെ']","{'screen': ['സ്ക്രീൻ'], 'camera': ['വീഡിയോ'], 'phone': ['12pro', 'iphone'], 'speaker': ['സ്പീക്കർ']}","[('ഇതിൽ', 'O'), ('എനിക്ക്', 'O'), ('ഇഷ്ടപ്പെടാത്തത്', 'O'), ('സ്ക്രീൻ', 'B-screen'), ('ൽ', 'O'), ('മുകളിൽ', 'O'), ('കാണുന്ന', 'O'), ('സ്പീക്കർ', 'B-speaker'), ('അത്', 'O'), ('ഉള്ളത്', 'O'), ('വീഡിയോ', 'B-camera'), ('നെ', 'O'), ('കവർ', 'O'), ('ചെയുന്നു', 'O'), ('iphone', 'B-phone'), ('12', 'O'), ('il', 'O'), ('അങ്ങിനെ', 'O'), ('തന്നെ', 'O')]"
Athhbuse ചെയ്യുമ്പോൾ എനിക്ക് വ്യക്തിപരമായി ചില പ്രശ്നം തോന്നി,"['athhbuse', 'ചെയ്യുമ്പോൾ', 'എനിക്ക്', 'വ്യക്തിപരമായി', 'ചില', 'പ്രശ്നം', 'തോന്നി']",{},"[('athhbuse', 'O'), ('ചെയ്യുമ്പോൾ', 'O'), ('എനിക്ക്', 'O'), ('വ്യക്തിപരമായി', 'O'), ('ചില', 'O'), ('പ്രശ്നം', 'O'), ('തോന്നി', 'O')]"
വില കുറവാണ് അതോണ്ട് മെഡിക്കുന്നില്ല ok beii😑,"['വില', 'കുറവാണ്', 'അതോണ്ട്', 'മെഡിക്കുന്നില്ല', 'ok', 'beii']",{'price': ['വില']},"[('വില', 'B-price'), ('കുറവാണ്', 'O'), ('അതോണ്ട്', 'O'), ('മെഡിക്കുന്നില്ല', 'O'), ('ok', 'O'), ('beii', 'O')]"
ഞാനൊരു User ആണ്... നേരത്തെ ഞാൻ Use ചെയ്തിരുന്നത് Samsung ഫോൺ ആയിരുന്നു.... നോർമൽ ഒരു കാൾ ചെയ്താൽ പോലും samsung ഫോൺ വല്ലാണ്ട് ചൂടാകുമായിരുന്നു...,"['ഞാനൊരു', 'user', 'ആണ്', 'നേരത്തെ', 'ഞാൻ', 'use', 'ചെയ്തിരുന്നത്', 'samsung', 'ഫോൺ', 'ആയിരുന്നു', 'നോർമൽ', 'ഒരു', 'കാൾ', 'ചെയ്താൽ', 'പോലും', 'samsung', 'ഫോൺ', 'വല്ലാണ്ട്', 'ചൂടാകുമായിരുന്നു']","{'phone': ['ഐഫോൺ', 'samsung']}","[('ഞാനൊരു', 'O'), ('user', 'O'), ('ആണ്', 'O'), ('നേരത്തെ', 'O'), ('ഞാൻ', 'O'), ('use', 'O'), ('ചെയ്തിരുന്നത്', 'O'), ('samsung', 'B-phone'), ('ഫോൺ', 'O'), ('ആയിരുന്നു', 'O'), ('നോർമൽ', 'O'), ('ഒരു', 'O'), ('കാൾ', 'O'), ('ചെയ്താൽ', 'O'), ('പോലും', 'O'), ('samsung', 'O'), ('ഫോൺ', 'O'), ('വല്ലാണ്ട്', 'O'), ('ചൂടാകുമായിരുന്നു', 'O')]"
"I phone 11 or P30 pro ഏതാണ് ബെറ്റർ കൺഫ്യൂഷനിൽ നിക്കുവാണ് ഏത് എടുക്കണം എന്ന്, ചേട്ടന്റെ കാഴ്ചപ്പാടിൽ ഏതാണ് മൊത്തത്തിൽ പെർഫോമൻസ് വൈസ് നല്ലത് plse റിപ്ലൈ പോസ്റ്റ്‌ ആണ് 🙏","['i', 'phone', '11', 'or', 'p30', 'pro', 'ഏതാണ്', 'ബെറ്റർ', 'കൺഫ്യൂഷനിൽ', 'നിക്കുവാണ്', 'ഏത്', 'എടുക്കണം', 'എന്ന്', 'ചേട്ടന്റെ', 'കാഴ്ചപ്പാടിൽ', 'ഏതാണ്', 'മൊത്തത്തിൽ', 'പെർഫോമൻസ്', 'വൈസ്', 'നല്ലത്', 'plse', 'റിപ്ലൈ', 'പോസ്റ്റ്', 'ആണ്']","{'phone': ['pro'], 'processor': ['processor']}","[('i', 'O'), ('phone', 'O'), ('11', 'O'), ('or', 'O'), ('p30', 'O'), ('pro', 'B-phone'), ('ഏതാണ്', 'O'), ('ബെറ്റർ', 'O'), ('കൺഫ്യൂഷനിൽ', 'O'), ('നിക്കുവാണ്', 'O'), ('ഏത്', 'O'), ('എടുക്കണം', 'O'), ('എന്ന്', 'O'), ('ചേട്ടന്റെ', 'O'), ('കാഴ്ചപ്പാടിൽ', 'O'), ('ഏതാണ്', 'O'), ('മൊത്തത്തിൽ', 'O'), ('പെർഫോമൻസ്', 'O'), ('വൈസ്', 'O'), ('നല്ലത്', 'O'), ('plse', 'O'), ('റിപ്ലൈ', 'O'), ('പോസ്റ്റ്', 'O'), ('ആണ്', 'O')]"
പല്ല് തേക്കണ പോലത്തെ charger😆,"['പല്ല്', 'തേക്കണ', 'പോലത്തെ', 'charger']",{'battery': ['charger']},"[('പല്ല്', 'O'), ('തേക്കണ', 'O'), ('പോലത്തെ', 'O'), ('charger', 'B-battery')]"
5T ഇപ്പോൾ കിട്ടാനില്ല.😑,"['5t', 'ഇപ്പോൾ', 'കിട്ടാനില്ല']",{},"[('5t', 'O'), ('ഇപ്പോൾ', 'O'), ('കിട്ടാനില്ല', 'O')]"
60 hz തളർത്തി,"['60', 'hz', 'തളർത്തി']",{},"[('60', 'O'), ('hz', 'O'), ('തളർത്തി', 'O')]"
